"URBAN = 1, RURAL = 2",,
State,County,Value
Alabama,Autauga,1
Alabama,Baldwin,1
Alabama,Barbour,2
Alabama,Bibb,1
Alabama,Blount,1
Alabama,Bullock,2
Alabama,Butler,2
Alabama,Calhoun,1
Alabama,Chambers,2
Alabama,Cherokee,2
Alabama,Chilton,1
Alabama,Choctaw,2
Alabama,Clarke,2
Alabama,Clay,2
Alabama,Cleburne,2
Alabama,Coffee,2
Alabama,Colbert,1
Alabama,Conecuh,2
Alabama,Coosa,2
Alabama,Covington,2
Alabama,Crenshaw,2
Alabama,Cullman,2
Alabama,Dale,2
Alabama,Dallas,2
Alabama,DeKalb,2
Alabama,Elmore,1
Alabama,Escambia,2
Alabama,Etowah,1
Alabama,Fayette,2
Alabama,Franklin,2
Alabama,Geneva,1
Alabama,Greene,2
Alabama,Hale,1
Alabama,Henry,1
Alabama,Houston,1
Alabama,Jackson,2
Alabama,Jefferson,1
Alabama,Lamar,2
Alabama,Lauderdale,1
Alabama,Lawrence,1
Alabama,Lee,1
Alabama,Limestone,1
Alabama,Lowndes,1
Alabama,Macon,2
Alabama,Madison,1
Alabama,Marengo,2
Alabama,Marion,2
Alabama,Marshall,2
Alabama,Mobile,1
Alabama,Monroe,2
Alabama,Montgomery,1
Alabama,Morgan,1
Alabama,Perry,2
Alabama,Pickens,1
Alabama,Pike,2
Alabama,Randolph,2
Alabama,Russell,1
Alabama,Shelby,1
Alabama,St. Clair,1
Alabama,Sumter,2
Alabama,Talladega,2
Alabama,Tallapoosa,2
Alabama,Tuscaloosa,1
Alabama,Walker,1
Alabama,Washington,2
Alabama,Wilcox,2
Alabama,Winston,2
Alaska,Aleutians East,2
Alaska,Aleutians West,2
Alaska,Anchorage,1
Alaska,Bethel,2
Alaska,Bristol Bay,2
Alaska,Denali,2
Alaska,Dillingham,2
Alaska,Fairbanks North Star,1
Alaska,Haines,2
Alaska,HOONAH-ANGOON CENSUS AREA,2
Alaska,Juneau,2
Alaska,Kenai Peninsula,2
Alaska,Ketchikan Gateway,2
Alaska,Kodiak Island,2
Alaska,Lake and Peninsula,2
Alaska,Matanuska-Susitna,1
Alaska,Nome,2
Alaska,North Slope,2
Alaska,Northwest Arctic,2
Alaska,PETERSBURG CENSUS AREA,2
Alaska,PRINCE OF WALES-HYDER CENSUS AREA,2
Alaska,Prince of Wales-Outer Ketchikan,2
Alaska,Sitka,2
Alaska,SKAGWAY MUNICIPALITY,2
Alaska,Skagway-Hoonah-Angoon,2
Alaska,Southeast Fairbanks,2
Alaska,Valdez-Cordova,2
Alaska,Wade Hampton,2
Alaska,WRANGELL CITY AND BURROUGH,2
Alaska,Wrangell-Petersburg,2
Alaska,Yakutat,2
Alaska,Yukon-Koyukuk,2
Arizona,Apache,2
Arizona,Cochise,1
Arizona,Coconino,1
Arizona,Gila,2
Arizona,Graham,2
Arizona,Greenlee,2
Arizona,La Paz,2
Arizona,Maricopa,1
Arizona,Mohave,1
Arizona,Navajo,2
Arizona,Pima,1
Arizona,Pinal,1
Arizona,Santa Cruz,2
Arizona,Yavapai,1
Arizona,Yuma,1
Arkansas,Arkansas,2
Arkansas,Ashley,2
Arkansas,Baxter,2
Arkansas,Benton,1
Arkansas,Boone,2
Arkansas,Bradley,2
Arkansas,Calhoun,2
Arkansas,Carroll,2
Arkansas,Chicot,2
Arkansas,Clark,2
Arkansas,Clay,2
Arkansas,Cleburne,2
Arkansas,Cleveland,1
Arkansas,Columbia,2
Arkansas,Conway,2
Arkansas,Craighead,1
Arkansas,Crawford,1
Arkansas,Crittenden,1
Arkansas,Cross,2
Arkansas,Dallas,2
Arkansas,Desha,2
Arkansas,Drew,2
Arkansas,Faulkner,1
Arkansas,Franklin,2
Arkansas,Fulton,2
Arkansas,Garland,1
Arkansas,Grant,1
Arkansas,Greene,2
Arkansas,Hempstead,2
Arkansas,Hot Spring,2
Arkansas,Howard,2
Arkansas,Independence,2
Arkansas,Izard,2
Arkansas,Jackson,2
Arkansas,Jefferson,1
Arkansas,Johnson,2
Arkansas,Lafayette,2
Arkansas,Lawrence,2
Arkansas,Lee,2
Arkansas,Lincoln,1
Arkansas,Little River,1
Arkansas,Logan,2
Arkansas,Lonoke,1
Arkansas,Madison,1
Arkansas,Marion,2
Arkansas,Miller,1
Arkansas,Mississippi,2
Arkansas,Monroe,2
Arkansas,Montgomery,2
Arkansas,Nevada,2
Arkansas,Newton,2
Arkansas,Ouachita,2
Arkansas,Perry,1
Arkansas,Phillips,2
Arkansas,Pike,2
Arkansas,Poinsett,1
Arkansas,Polk,2
Arkansas,Pope,2
Arkansas,Prairie,2
Arkansas,Pulaski,1
Arkansas,Randolph,2
Arkansas,Saline,1
Arkansas,Scott,2
Arkansas,Searcy,2
Arkansas,Sebastian,1
Arkansas,Sevier,2
Arkansas,Sharp,2
Arkansas,St. Francis,2
Arkansas,Stone,2
Arkansas,Union,2
Arkansas,Van Buren,2
Arkansas,Washington,1
Arkansas,White,2
Arkansas,Woodruff,2
Arkansas,Yell,2
California,Alameda,1
California,Alpine,2
California,Amador,2
California,Butte,1
California,Calaveras,2
California,Colusa,2
California,Contra Costa,1
California,Del Norte,2
California,El Dorado,1
California,Fresno,1
California,Glenn,2
California,Humboldt,2
California,Imperial,1
California,Inyo,2
California,Kern,1
California,Kings,1
California,Lake,2
California,Lassen,2
California,Los Angeles,1
California,Madera,1
California,Marin,1
California,Mariposa,2
California,Mendocino,2
California,Merced,1
California,Modoc,2
California,Mono,2
California,Monterey,1
California,Napa,1
California,Nevada,2
California,Orange,1
California,Placer,1
California,Plumas,2
California,Riverside,1
California,Sacramento,1
California,San Benito,1
California,San Bernardino,1
California,San Diego,1
California,San Francisco,1
California,San Joaquin,1
California,San Luis Obispo,1
California,San Mateo,1
California,Santa Barbara,1
California,Santa Clara,1
California,Santa Cruz,1
California,Shasta,1
California,Sierra,2
California,Siskiyou,2
California,Solano,1
California,Sonoma,1
California,Stanislaus,1
California,Sutter,1
California,Tehama,2
